                   i   I
                   m   n     M M R R
           o       m   s     e e e e
           p       | i t     m m g g
           c       v n R l l R W R W
    c      o       a c e d d e r e r                                                                         B
    l inst d R R R l P a I P a i a i                                                                         E brnh
tim k addr e S T D u C d R C d t d t S0~S7    R0       R1       R2       R3       ALUout   data     T0-7     Q addr
-e- - ---- --------e - - - - - e - e -------- -------- -------- -------- -------- -------- -------- -------- - --------
 92 1    5 6-0-1-0-0 0 0 0 0 0 1 0 0 00001000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000005
 93 0    5 6-0-1-0-0 0 0 0 0 0 1 0 0 00001000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000005
 94 1    6 6-0-1-0-0 1 0 0 0 0 0 0 0 00000100 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000006
 95 0    6 6-0-1-0-0 1 0 0 0 0 0 0 0 00000100 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000006
 96 1    6 6-0-1-0-0 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000006
 97 0    6 6-0-1-0-0 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000006
 98 1    6 6-0-1-0-0 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000006
 99 0    6 6-0-1-0-0 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000006
100 1    6 7-1-3-0-20 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000002 00000002 00000002 xxxxxxxx xxxxxxxx 00000001 x 0000001a
101 0    6 7-1-3-0-20 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000002 00000002 00000002 xxxxxxxx xxxxxxxx 00000001 x 0000001a
102 1    6 7-1-3-0-20 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000002 00000002 00000002 xxxxxxxx xxxxxxxx 00000001 x 0000001a
103 0    6 7-1-3-0-20 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000002 00000002 00000002 xxxxxxxx xxxxxxxx 00000001 x 0000001a
104 1    6 7-1-3-0-20 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001a
105 0    6 7-1-3-0-20 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001a
106 1    6 7-1-3-0-20 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001a
107 0    6 7-1-3-0-20 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001a
108 1    6 7-1-3-0-20 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001a
109 0    6 7-1-3-0-20 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001a
110 1    7 7-1-3-0-20 1 0 0 0 0 0 0 0 00000100 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001b
111 0    7 7-1-3-0-20 1 0 0 0 0 0 0 0 00000100 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000001b
112 1   27 7-1-3-0-20 0 0 0 1 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000002f
113 0   27 7-1-3-0-20 0 0 0 1 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000002f
114 1   27 7-1-3-0-20 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000002f
115 0   27 7-1-3-0-20 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000016 xxxxxxxx 00000001 1 0000002f
